year,sdg,country_count_total
1972,1,0
1972,2,1
1972,3,2
1972,4,3
1972,5,0
1972,6,2
1972,7,0
1972,8,1
1972,9,2
1972,10,1
1972,11,3
1972,12,0
1972,13,0
1972,14,0
1972,15,1
1972,16,2
1972,17,1
1973,1,0
1973,2,1
1973,3,0
1973,4,2
1973,5,0
1973,6,0
1973,7,0
1973,8,1
1973,9,1
1973,10,1
1973,11,0
1973,12,0
1973,13,0
1973,14,0
1973,15,1
1973,16,2
1973,17,0
1974,1,1
1974,2,2
1974,3,1
1974,4,2
1974,5,0
1974,6,1
1974,7,0
1974,8,1
1974,9,0
1974,10,2
1974,11,2
1974,12,0
1974,13,0
1974,14,0
1974,15,1
1974,16,2
1974,17,1
1975,1,0
1975,2,1
1975,3,1
1975,4,1
1975,5,1
1975,6,0
1975,7,0
1975,8,2
1975,9,1
1975,10,1
1975,11,3
1975,12,0
1975,13,1
1975,14,0
1975,15,1
1975,16,2
1975,17,1
1976,1,0
1976,2,1
1976,3,1
1976,4,2
1976,5,0
1976,6,0
1976,7,0
1976,8,4
1976,9,1
1976,10,2
1976,11,2
1976,12,1
1976,13,0
1976,14,0
1976,15,0
1976,16,2
1976,17,1
1977,1,1
1977,2,1
1977,3,2
1977,4,1
1977,5,0
1977,6,0
1977,7,0
1977,8,2
1977,9,1
1977,10,3
1977,11,4
1977,12,0
1977,13,1
1977,14,0
1977,15,0
1977,16,2
1977,17,0
1978,1,4
1978,2,3
1978,3,1
1978,4,2
1978,5,1
1978,6,1
1978,7,0
1978,8,3
1978,9,2
1978,10,4
1978,11,1
1978,12,0
1978,13,0
1978,14,1
1978,15,0
1978,16,2
1978,17,1
1979,1,2
1979,2,2
1979,3,2
1979,4,1
1979,5,1
1979,6,0
1979,7,0
1979,8,2
1979,9,1
1979,10,3
1979,11,2
1979,12,1
1979,13,0
1979,14,1
1979,15,1
1979,16,2
1979,17,1
1980,1,3
1980,2,1
1980,3,3
1980,4,2
1980,5,1
1980,6,2
1980,7,1
1980,8,2
1980,9,3
1980,10,2
1980,11,3
1980,12,1
1980,13,1
1980,14,0
1980,15,2
1980,16,1
1980,17,1
1981,1,3
1981,2,2
1981,3,2
1981,4,3
1981,5,1
1981,6,2
1981,7,3
1981,8,4
1981,9,2
1981,10,2
1981,11,2
1981,12,0
1981,13,0
1981,14,0
1981,15,2
1981,16,1
1981,17,2
1982,1,1
1982,2,2
1982,3,3
1982,4,1
1982,5,1
1982,6,1
1982,7,1
1982,8,4
1982,9,1
1982,10,2
1982,11,4
1982,12,1
1982,13,1
1982,14,1
1982,15,2
1982,16,2
1982,17,1
1983,1,4
1983,2,1
1983,3,2
1983,4,2
1983,5,2
1983,6,1
1983,7,1
1983,8,4
1983,9,1
1983,10,2
1983,11,1
1983,12,1
1983,13,1
1983,14,1
1983,15,1
1983,16,2
1983,17,1
1984,1,5
1984,2,2
1984,3,2
1984,4,2
1984,5,2
1984,6,1
1984,7,0
1984,8,4
1984,9,1
1984,10,2
1984,11,3
1984,12,2
1984,13,1
1984,14,0
1984,15,2
1984,16,1
1984,17,1
1985,1,3
1985,2,1
1985,3,2
1985,4,1
1985,5,2
1985,6,2
1985,7,1
1985,8,3
1985,9,1
1985,10,2
1985,11,3
1985,12,1
1985,13,1
1985,14,2
1985,15,2
1985,16,1
1985,17,1
1986,1,4
1986,2,3
1986,3,3
1986,4,2
1986,5,2
1986,6,1
1986,7,0
1986,8,4
1986,9,2
1986,10,5
1986,11,4
1986,12,1
1986,13,1
1986,14,1
1986,15,3
1986,16,3
1986,17,1
1987,1,3
1987,2,1
1987,3,4
1987,4,1
1987,5,1
1987,6,1
1987,7,0
1987,8,1
1987,9,1
1987,10,2
1987,11,2
1987,12,2
1987,13,1
1987,14,0
1987,15,4
1987,16,0
1987,17,1
1988,1,3
1988,2,3
1988,3,4
1988,4,3
1988,5,1
1988,6,0
1988,7,0
1988,8,4
1988,9,0
1988,10,2
1988,11,3
1988,12,1
1988,13,1
1988,14,1
1988,15,1
1988,16,3
1988,17,1
1989,1,2
1989,2,1
1989,3,3
1989,4,2
1989,5,2
1989,6,1
1989,7,0
1989,8,4
1989,9,1
1989,10,4
1989,11,2
1989,12,3
1989,13,1
1989,14,0
1989,15,4
1989,16,3
1989,17,2
1990,1,5
1990,2,1
1990,3,2
1990,4,2
1990,5,3
1990,6,3
1990,7,1
1990,8,4
1990,9,1
1990,10,3
1990,11,2
1990,12,1
1990,13,1
1990,14,0
1990,15,4
1990,16,5
1990,17,1
1991,1,7
1991,2,2
1991,3,3
1991,4,3
1991,5,2
1991,6,1
1991,7,0
1991,8,4
1991,9,1
1991,10,3
1991,11,2
1991,12,1
1991,13,2
1991,14,0
1991,15,4
1991,16,3
1991,17,2
1992,1,6
1992,2,2
1992,3,5
1992,4,2
1992,5,2
1992,6,2
1992,7,1
1992,8,6
1992,9,0
1992,10,4
1992,11,4
1992,12,2
1992,13,1
1992,14,0
1992,15,4
1992,16,5
1992,17,2
1993,1,6
1993,2,4
1993,3,4
1993,4,3
1993,5,2
1993,6,0
1993,7,1
1993,8,3
1993,9,1
1993,10,4
1993,11,3
1993,12,3
1993,13,1
1993,14,0
1993,15,5
1993,16,3
1993,17,1
1994,1,1
1994,2,4
1994,3,5
1994,4,3
1994,5,6
1994,6,2
1994,7,1
1994,8,5
1994,9,1
1994,10,3
1994,11,3
1994,12,1
1994,13,2
1994,14,1
1994,15,3
1994,16,3
1994,17,2
1995,1,4
1995,2,4
1995,3,3
1995,4,4
1995,5,4
1995,6,1
1995,7,1
1995,8,4
1995,9,2
1995,10,4
1995,11,4
1995,12,1
1995,13,2
1995,14,1
1995,15,4
1995,16,4
1995,17,2
1996,1,7
1996,2,3
1996,3,5
1996,4,5
1996,5,5
1996,6,2
1996,7,1
1996,8,5
1996,9,3
1996,10,5
1996,11,5
1996,12,1
1996,13,2
1996,14,1
1996,15,6
1996,16,5
1996,17,2
1997,1,4
1997,2,5
1997,3,4
1997,4,5
1997,5,7
1997,6,3
1997,7,2
1997,8,6
1997,9,2
1997,10,5
1997,11,4
1997,12,3
1997,13,2
1997,14,2
1997,15,5
1997,16,8
1997,17,2
1998,1,7
1998,2,5
1998,3,8
1998,4,7
1998,5,5
1998,6,3
1998,7,2
1998,8,7
1998,9,3
1998,10,7
1998,11,5
1998,12,3
1998,13,2
1998,14,2
1998,15,7
1998,16,7
1998,17,4
1999,1,8
1999,2,8
1999,3,11
1999,4,6
1999,5,5
1999,6,3
1999,7,1
1999,8,12
1999,9,4
1999,10,8
1999,11,5
1999,12,3
1999,13,7
1999,14,3
1999,15,6
1999,16,9
1999,17,3
2000,1,10
2000,2,4
2000,3,10
2000,4,8
2000,5,6
2000,6,5
2000,7,4
2000,8,13
2000,9,6
2000,10,8
2000,11,7
2000,12,4
2000,13,7
2000,14,3
2000,15,8
2000,16,10
2000,17,5
2001,1,21
2001,2,7
2001,3,12
2001,4,11
2001,5,8
2001,6,4
2001,7,5
2001,8,18
2001,9,6
2001,10,15
2001,11,13
2001,12,5
2001,13,10
2001,14,5
2001,15,9
2001,16,13
2001,17,7
2002,1,23
2002,2,8
2002,3,15
2002,4,12
2002,5,12
2002,6,5
2002,7,7
2002,8,19
2002,9,14
2002,10,19
2002,11,10
2002,12,13
2002,13,11
2002,14,4
2002,15,13
2002,16,19
2002,17,7
2003,1,22
2003,2,11
2003,3,20
2003,4,14
2003,5,14
2003,6,6
2003,7,8
2003,8,24
2003,9,12
2003,10,16
2003,11,11
2003,12,9
2003,13,12
2003,14,7
2003,15,11
2003,16,20
2003,17,13
2004,1,24
2004,2,10
2004,3,21
2004,4,14
2004,5,15
2004,6,8
2004,7,6
2004,8,27
2004,9,14
2004,10,19
2004,11,15
2004,12,9
2004,13,14
2004,14,5
2004,15,11
2004,16,22
2004,17,8
2005,1,27
2005,2,15
2005,3,21
2005,4,16
2005,5,14
2005,6,8
2005,7,7
2005,8,27
2005,9,9
2005,10,17
2005,11,14
2005,12,8
2005,13,15
2005,14,6
2005,15,11
2005,16,26
2005,17,11
2006,1,30
2006,2,13
2006,3,21
2006,4,17
2006,5,13
2006,6,11
2006,7,10
2006,8,36
2006,9,19
2006,10,21
2006,11,15
2006,12,7
2006,13,17
2006,14,6
2006,15,16
2006,16,27
2006,17,13
2007,1,28
2007,2,17
2007,3,24
2007,4,26
2007,5,20
2007,6,8
2007,7,10
2007,8,35
2007,9,17
2007,10,23
2007,11,20
2007,12,10
2007,13,25
2007,14,7
2007,15,17
2007,16,24
2007,17,16
2008,1,31
2008,2,19
2008,3,35
2008,4,24
2008,5,15
2008,6,15
2008,7,15
2008,8,41
2008,9,27
2008,10,29
2008,11,24
2008,12,16
2008,13,23
2008,14,7
2008,15,21
2008,16,32
2008,17,13
2009,1,34
2009,2,21
2009,3,35
2009,4,23
2009,5,20
2009,6,14
2009,7,11
2009,8,44
2009,9,23
2009,10,28
2009,11,20
2009,12,15
2009,13,29
2009,14,7
2009,15,21
2009,16,34
2009,17,18
2010,1,41
2010,2,25
2010,3,45
2010,4,28
2010,5,26
2010,6,14
2010,7,21
2010,8,47
2010,9,34
2010,10,29
2010,11,23
2010,12,12
2010,13,34
2010,14,8
2010,15,22
2010,16,38
2010,17,23
2011,1,45
2011,2,27
2011,3,38
2011,4,34
2011,5,25
2011,6,19
2011,7,20
2011,8,58
2011,9,37
2011,10,30
2011,11,23
2011,12,24
2011,13,36
2011,14,10
2011,15,20
2011,16,40
2011,17,27
2012,1,52
2012,2,30
2012,3,38
2012,4,35
2012,5,24
2012,6,18
2012,7,16
2012,8,54
2012,9,37
2012,10,37
2012,11,32
2012,12,21
2012,13,35
2012,14,12
2012,15,19
2012,16,41
2012,17,22
2013,1,46
2013,2,37
2013,3,48
2013,4,37
2013,5,32
2013,6,20
2013,7,21
2013,8,65
2013,9,42
2013,10,42
2013,11,30
2013,12,19
2013,13,43
2013,14,11
2013,15,28
2013,16,42
2013,17,30
2014,1,51
2014,2,30
2014,3,47
2014,4,43
2014,5,32
2014,6,21
2014,7,23
2014,8,61
2014,9,46
2014,10,46
2014,11,38
2014,12,19
2014,13,42
2014,14,9
2014,15,26
2014,16,54
2014,17,28
2015,1,47
2015,2,34
2015,3,53
2015,4,32
2015,5,35
2015,6,25
2015,7,28
2015,8,67
2015,9,45
2015,10,51
2015,11,39
2015,12,22
2015,13,45
2015,14,13
2015,15,25
2015,16,51
2015,17,35
2016,1,53
2016,2,36
2016,3,54
2016,4,44
2016,5,32
2016,6,20
2016,7,22
2016,8,82
2016,9,52
2016,10,49
2016,11,41
2016,12,22
2016,13,53
2016,14,11
2016,15,28
2016,16,56
2016,17,34
2017,1,64
2017,2,37
2017,3,54
2017,4,42
2017,5,34
2017,6,24
2017,7,28
2017,8,74
2017,9,59
2017,10,45
2017,11,46
2017,12,23
2017,13,56
2017,14,10
2017,15,25
2017,16,51
2017,17,37
2018,1,63
2018,2,41
2018,3,61
2018,4,54
2018,5,38
2018,6,32
2018,7,28
2018,8,83
2018,9,52
2018,10,49
2018,11,49
2018,12,24
2018,13,45
2018,14,15
2018,15,33
2018,16,59
2018,17,42
2019,1,61
2019,2,41
2019,3,56
2019,4,49
2019,5,44
2019,6,31
2019,7,26
2019,8,76
2019,9,59
2019,10,48
2019,11,47
2019,12,25
2019,13,61
2019,14,14
2019,15,38
2019,16,62
2019,17,38
2020,1,59
2020,2,43
2020,3,63
2020,4,47
2020,5,42
2020,6,31
2020,7,31
2020,8,71
2020,9,50
2020,10,55
2020,11,45
2020,12,29
2020,13,62
2020,14,17
2020,15,41
2020,16,54
2020,17,29
2021,1,62
2021,2,47
2021,3,69
2021,4,47
2021,5,41
2021,6,30
2021,7,30
2021,8,82
2021,9,57
2021,10,53
2021,11,45
2021,12,24
2021,13,75
2021,14,14
2021,15,35
2021,16,59
2021,17,33
2022,1,62
2022,2,47
2022,3,72
2022,4,44
2022,5,40
2022,6,24
2022,7,35
2022,8,66
2022,9,47
2022,10,43
2022,11,50
2022,12,28
2022,13,66
2022,14,18
2022,15,27
2022,16,58
2022,17,32
2023,1,53
2023,2,41
2023,3,66
2023,4,48
2023,5,39
2023,6,25
2023,7,37
2023,8,69
2023,9,47
2023,10,41
2023,11,43
2023,12,29
2023,13,61
2023,14,15
2023,15,28
2023,16,50
2023,17,35
2024,1,49
2024,2,35
2024,3,51
2024,4,41
2024,5,31
2024,6,18
2024,7,29
2024,8,64
2024,9,35
2024,10,36
2024,11,39
2024,12,18
2024,13,55
2024,14,8
2024,15,25
2024,16,42
2024,17,27
