category,Source country,mention_count,rank_in_category
affordability and income constraints,IGO,14931,1.0
affordability and income constraints,EU,7132,2.0
affordability and income constraints,USA,6212,3.0
affordability and income constraints,UK,5015,4.0
affordability and income constraints,Australia,1046,5.0
affordability and income constraints,Ireland,891,6.0
affordability and income constraints,Canada,849,7.0
affordability and income constraints,Germany,626,8.0
affordability and income constraints,South Africa,619,9.0
affordability and income constraints,Belgium,392,10.0
affordability and income constraints,New Zealand,384,11.0
affordability and income constraints,Austria,364,12.0
affordability and income constraints,France,327,13.0
affordability and income constraints,Netherlands,217,14.0
affordability and income constraints,Singapore,189,15.0
affordability and income constraints,Finland,187,16.0
affordability and income constraints,India,168,17.0
affordability and income constraints,Spain,163,18.0
affordability and income constraints,South Korea,162,19.0
affordability and income constraints,Sweden,142,20.0
affordability and income constraints,Japan,128,21.0
affordability and income constraints,Tanzania,114,22.0
affordability and income constraints,Uganda,109,23.0
affordability and income constraints,Norway,108,24.0
affordability and income constraints,Switzerland,108,25.0
affordability and income constraints,Kenya,105,26.0
affordability and income constraints,Italy,100,27.0
affordability and income constraints,Ghana,90,28.0
affordability and income constraints,Poland,84,29.0
affordability and income constraints,Trinidad and Tobago,80,30.0
affordability and income constraints,Latvia,77,31.0
affordability and income constraints,Philippines,75,32.0
affordability and income constraints,Indonesia,61,33.0
affordability and income constraints,Turkey,61,34.0
affordability and income constraints,Egypt,56,35.0
affordability and income constraints,Nepal,54,36.0
affordability and income constraints,China,49,37.0
affordability and income constraints,Sri Lanka,47,38.0
affordability and income constraints,Brazil,42,39.0
affordability and income constraints,Nigeria,40,40.0
affordability and income constraints,Portugal,39,41.0
affordability and income constraints,Denmark,38,42.0
affordability and income constraints,Estonia,36,43.0
affordability and income constraints,Cyprus,34,44.0
affordability and income constraints,Kosovo,34,45.0
affordability and income constraints,Malta,32,46.0
affordability and income constraints,Pakistan,32,47.0
affordability and income constraints,Eswatini,31,48.0
affordability and income constraints,Malawi,29,49.0
affordability and income constraints,United Arab Emirates,28,50.0
affordability and income constraints,Hungary,27,51.0
affordability and income constraints,Peru,27,52.0
affordability and income constraints,Czech Republic,26,53.0
affordability and income constraints,Cambodia,25,54.0
affordability and income constraints,Greece,24,55.0
affordability and income constraints,Venezuela,24,56.0
affordability and income constraints,Namibia,22,57.0
affordability and income constraints,Slovenia,22,58.0
affordability and income constraints,Jamaica,21,59.0
affordability and income constraints,Taiwan,21,60.0
affordability and income constraints,Luxembourg,20,61.0
affordability and income constraints,Mauritius,20,62.0
affordability and income constraints,Fiji,19,63.0
affordability and income constraints,Botswana,18,64.0
affordability and income constraints,Chile,18,65.0
affordability and income constraints,Ethiopia,17,66.0
affordability and income constraints,Barbados,15,67.0
affordability and income constraints,Timor Leste,15,68.0
affordability and income constraints,Kiribati,14,69.0
affordability and income constraints,Liberia,14,70.0
affordability and income constraints,Zambia,14,71.0
affordability and income constraints,Zimbabwe,14,72.0
affordability and income constraints,Lithuania,13,73.0
affordability and income constraints,Mongolia,13,74.0
affordability and income constraints,Rwanda,13,75.0
affordability and income constraints,Serbia,13,76.0
affordability and income constraints,Slovakia,13,77.0
affordability and income constraints,Colombia,12,78.0
affordability and income constraints,Montenegro,12,79.0
affordability and income constraints,Thailand,12,80.0
affordability and income constraints,Afghanistan,11,81.0
affordability and income constraints,Guyana,11,82.0
affordability and income constraints,Moldova,11,83.0
affordability and income constraints,Israel,10,84.0
affordability and income constraints,Mexico,9,85.0
affordability and income constraints,Tonga,9,86.0
affordability and income constraints,Bangladesh,8,87.0
affordability and income constraints,Solomon Islands,8,88.0
affordability and income constraints,Somalia,8,89.0
affordability and income constraints,Bahamas,7,90.0
affordability and income constraints,Cameroon,7,91.0
affordability and income constraints,Papua New Guinea,7,92.0
affordability and income constraints,Argentina,6,93.0
affordability and income constraints,Azerbaijan,6,94.0
affordability and income constraints,Bhutan,6,95.0
affordability and income constraints,Iceland,6,96.0
affordability and income constraints,Romania,6,97.0
affordability and income constraints,Samoa,6,98.0
affordability and income constraints,Belize,5,99.0
affordability and income constraints,Georgia,5,100.0
affordability and income constraints,Lebanon,5,101.0
affordability and income constraints,Morocco,5,102.0
affordability and income constraints,Mozambique,5,103.0
affordability and income constraints,Angola,4,104.0
affordability and income constraints,Gambia,4,105.0
affordability and income constraints,Guatemala,4,106.0
affordability and income constraints,Qatar,4,107.0
affordability and income constraints,Russia,4,108.0
affordability and income constraints,Sierra Leone,4,109.0
affordability and income constraints,Albania,3,110.0
affordability and income constraints,Lesotho,3,111.0
affordability and income constraints,Maldives,3,112.0
affordability and income constraints,Micronesia,3,113.0
affordability and income constraints,North Macedonia,3,114.0
affordability and income constraints,Palestine,3,115.0
affordability and income constraints,Paraguay,3,116.0
affordability and income constraints,Armenia,2,117.0
affordability and income constraints,Bolivia,2,118.0
affordability and income constraints,Bulgaria,2,119.0
affordability and income constraints,Croatia,2,120.0
affordability and income constraints,Jordan,2,121.0
affordability and income constraints,Malaysia,2,122.0
affordability and income constraints,Palau,2,123.0
affordability and income constraints,Bosnia and Herzegovina,1,124.0
affordability and income constraints,Brunei,1,125.0
affordability and income constraints,Kyrgyzstan,1,126.0
affordability and income constraints,Laos,1,127.0
affordability and income constraints,Marshall Islands,1,128.0
affordability and income constraints,Panama,1,129.0
affordability and income constraints,San Marino,1,130.0
affordability and income constraints,Saudi Arabia,1,131.0
affordability and income constraints,Senegal,1,132.0
affordability and income constraints,Seychelles,1,133.0
affordability and income constraints,South Sudan,1,134.0
affordability and income constraints,Suriname,1,135.0
affordability and income constraints,Ukraine,1,136.0
affordability and income constraints,Uruguay,1,137.0
affordability and income constraints,Uzbekistan,1,138.0
energy transition and efficiency,IGO,20633,1.0
energy transition and efficiency,USA,11121,2.0
energy transition and efficiency,UK,6280,3.0
energy transition and efficiency,EU,6228,4.0
energy transition and efficiency,Australia,1587,5.0
energy transition and efficiency,Germany,1284,6.0
energy transition and efficiency,Canada,1223,7.0
energy transition and efficiency,France,1167,8.0
energy transition and efficiency,Ireland,1049,9.0
energy transition and efficiency,South Africa,542,10.0
energy transition and efficiency,Belgium,473,11.0
energy transition and efficiency,New Zealand,408,12.0
energy transition and efficiency,India,397,13.0
energy transition and efficiency,Sweden,345,14.0
energy transition and efficiency,Tanzania,334,15.0
energy transition and efficiency,Austria,325,16.0
energy transition and efficiency,Uganda,318,17.0
energy transition and efficiency,Poland,316,18.0
energy transition and efficiency,Switzerland,294,19.0
energy transition and efficiency,Spain,281,20.0
energy transition and efficiency,Philippines,265,21.0
energy transition and efficiency,Netherlands,261,22.0
energy transition and efficiency,Italy,225,23.0
energy transition and efficiency,Japan,197,24.0
energy transition and efficiency,Singapore,195,25.0
energy transition and efficiency,Denmark,165,26.0
energy transition and efficiency,Finland,135,27.0
energy transition and efficiency,Kenya,133,28.0
energy transition and efficiency,Brazil,129,29.0
energy transition and efficiency,Norway,127,30.0
energy transition and efficiency,South Korea,122,31.0
energy transition and efficiency,Ghana,99,32.0
energy transition and efficiency,Turkey,93,33.0
energy transition and efficiency,Portugal,88,34.0
energy transition and efficiency,Pakistan,86,35.0
energy transition and efficiency,China,81,36.0
energy transition and efficiency,Fiji,81,37.0
energy transition and efficiency,Mauritius,80,38.0
energy transition and efficiency,Ethiopia,78,39.0
energy transition and efficiency,Indonesia,78,40.0
energy transition and efficiency,Sri Lanka,74,41.0
energy transition and efficiency,Maldives,67,42.0
energy transition and efficiency,Trinidad and Tobago,63,43.0
energy transition and efficiency,Cambodia,59,44.0
energy transition and efficiency,Rwanda,59,45.0
energy transition and efficiency,Lebanon,56,46.0
energy transition and efficiency,Thailand,49,47.0
energy transition and efficiency,Nepal,47,48.0
energy transition and efficiency,Hungary,46,49.0
energy transition and efficiency,Romania,45,50.0
energy transition and efficiency,Latvia,42,51.0
energy transition and efficiency,Sierra Leone,38,52.0
energy transition and efficiency,Egypt,37,53.0
energy transition and efficiency,Greece,36,54.0
energy transition and efficiency,Micronesia,34,55.0
energy transition and efficiency,Mozambique,31,56.0
energy transition and efficiency,Venezuela,30,57.0
energy transition and efficiency,Malawi,29,58.0
energy transition and efficiency,Bhutan,27,59.0
energy transition and efficiency,Kiribati,27,60.0
energy transition and efficiency,Kosovo,27,61.0
energy transition and efficiency,Namibia,27,62.0
energy transition and efficiency,Slovakia,27,63.0
energy transition and efficiency,Belize,26,64.0
energy transition and efficiency,Samoa,25,65.0
energy transition and efficiency,Guyana,24,66.0
energy transition and efficiency,Cyprus,23,67.0
energy transition and efficiency,Eswatini,23,68.0
energy transition and efficiency,Liberia,23,69.0
energy transition and efficiency,Malta,22,70.0
energy transition and efficiency,Solomon Islands,22,71.0
energy transition and efficiency,Estonia,21,72.0
energy transition and efficiency,Georgia,21,73.0
energy transition and efficiency,Somalia,20,74.0
energy transition and efficiency,Uruguay,20,75.0
energy transition and efficiency,Argentina,19,76.0
energy transition and efficiency,Vietnam,18,77.0
energy transition and efficiency,Laos,17,78.0
energy transition and efficiency,Mexico,17,79.0
energy transition and efficiency,North Macedonia,17,80.0
energy transition and efficiency,Barbados,16,81.0
energy transition and efficiency,Costa Rica,16,82.0
energy transition and efficiency,Czech Republic,16,83.0
energy transition and efficiency,Slovenia,16,84.0
energy transition and efficiency,Colombia,15,85.0
energy transition and efficiency,Timor Leste,15,86.0
energy transition and efficiency,Chile,14,87.0
energy transition and efficiency,Marshall Islands,14,88.0
energy transition and efficiency,Croatia,12,89.0
energy transition and efficiency,Moldova,11,90.0
energy transition and efficiency,Mongolia,11,91.0
energy transition and efficiency,Peru,11,92.0
energy transition and efficiency,Senegal,11,93.0
energy transition and efficiency,Tajikistan,11,94.0
energy transition and efficiency,Taiwan,10,95.0
energy transition and efficiency,Tonga,10,96.0
energy transition and efficiency,United Arab Emirates,10,97.0
energy transition and efficiency,Uzbekistan,10,98.0
energy transition and efficiency,Bahamas,9,99.0
energy transition and efficiency,Morocco,9,100.0
energy transition and efficiency,Serbia,9,101.0
energy transition and efficiency,Benin,8,102.0
energy transition and efficiency,Gambia,8,103.0
energy transition and efficiency,South Sudan,8,104.0
energy transition and efficiency,Suriname,8,105.0
energy transition and efficiency,Nigeria,7,106.0
energy transition and efficiency,Papua New Guinea,7,107.0
energy transition and efficiency,Bahrain,6,108.0
energy transition and efficiency,Cameroon,6,109.0
energy transition and efficiency,Guinea,6,110.0
energy transition and efficiency,Jamaica,6,111.0
energy transition and efficiency,Malaysia,6,112.0
energy transition and efficiency,Palau,6,113.0
energy transition and efficiency,Qatar,6,114.0
energy transition and efficiency,Zambia,6,115.0
energy transition and efficiency,Afghanistan,5,116.0
energy transition and efficiency,Botswana,5,117.0
energy transition and efficiency,Bulgaria,5,118.0
energy transition and efficiency,Cape Verde,5,119.0
energy transition and efficiency,Israel,5,120.0
energy transition and efficiency,Saudi Arabia,5,121.0
energy transition and efficiency,Bangladesh,3,122.0
energy transition and efficiency,Haiti,3,123.0
energy transition and efficiency,Iran,3,124.0
energy transition and efficiency,Iraq,3,125.0
energy transition and efficiency,Luxembourg,3,126.0
energy transition and efficiency,Montenegro,3,127.0
energy transition and efficiency,Nicaragua,3,128.0
energy transition and efficiency,Palestine,3,129.0
energy transition and efficiency,Albania,2,130.0
energy transition and efficiency,Angola,2,131.0
energy transition and efficiency,Azerbaijan,2,132.0
energy transition and efficiency,Belarus,2,133.0
energy transition and efficiency,Brunei,2,134.0
energy transition and efficiency,Cuba,2,135.0
energy transition and efficiency,Iceland,2,136.0
energy transition and efficiency,Lithuania,2,137.0
energy transition and efficiency,Mali,2,138.0
energy transition and efficiency,Paraguay,2,139.0
energy transition and efficiency,Russia,2,140.0
energy transition and efficiency,Ukraine,2,141.0
energy transition and efficiency,Vanuatu,2,142.0
energy transition and efficiency,Andorra,1,143.0
energy transition and efficiency,Armenia,1,144.0
energy transition and efficiency,Kuwait,1,145.0
energy transition and efficiency,Kyrgyzstan,1,146.0
energy transition and efficiency,Myanmar,1,147.0
energy transition and efficiency,Oman,1,148.0
energy transition and efficiency,Zimbabwe,1,149.0
health and vulnerability,IGO,15805,1.0
health and vulnerability,USA,11645,2.0
health and vulnerability,UK,7914,3.0
health and vulnerability,EU,4764,4.0
health and vulnerability,Australia,2038,5.0
health and vulnerability,Canada,1531,6.0
health and vulnerability,Ireland,1040,7.0
health and vulnerability,South Africa,667,8.0
health and vulnerability,France,531,9.0
health and vulnerability,Germany,488,10.0
health and vulnerability,New Zealand,392,11.0
health and vulnerability,Belgium,351,12.0
health and vulnerability,Austria,237,13.0
health and vulnerability,Uganda,236,14.0
health and vulnerability,Switzerland,222,15.0
health and vulnerability,Singapore,217,16.0
health and vulnerability,Netherlands,203,17.0
health and vulnerability,Spain,177,18.0
health and vulnerability,India,164,19.0
health and vulnerability,Sweden,163,20.0
health and vulnerability,Italy,153,21.0
health and vulnerability,Kenya,151,22.0
health and vulnerability,Norway,127,23.0
health and vulnerability,Philippines,124,24.0
health and vulnerability,Finland,118,25.0
health and vulnerability,Pakistan,99,26.0
health and vulnerability,Tanzania,94,27.0
health and vulnerability,South Korea,87,28.0
health and vulnerability,Sri Lanka,77,29.0
health and vulnerability,Malaysia,76,30.0
health and vulnerability,Japan,64,31.0
health and vulnerability,Turkey,61,32.0
health and vulnerability,Ghana,59,33.0
health and vulnerability,China,52,34.0
health and vulnerability,Nepal,51,35.0
health and vulnerability,Malawi,46,36.0
